index,Museum,Museum Wiki,Museum Wikidata ID,Country,Country Wiki,Country Wikidata ID,City,City Wiki,City Wikidata ID,Visitors per year,City population,Country population,Wiki languages count,Continent,Museum types,Art/culture museum
0,Louvre,/wiki/Louvre,Q19675,France,/wiki/France,Q142,Paris,/wiki/Paris,Q90,9600000,2187526,66628000,152,Europe,"['art museum', 'museum of culture', 'museum']",True
1,National Museum of China,/wiki/National_Museum_of_China,Q1074318,China,/wiki/China,Q148,Beijing,/wiki/Beijing,Q956,7390000,21710000,1409517397,30,Asia,"['national museum', 'museum']",False
2,Vatican Museums,/wiki/Vatican_Museums,Q182955,Vatican City,/wiki/Vatican_City,Q237,Vatican City,/wiki/Vatican_City,Q237,6882931,1000,1000,56,Europe,"['art museum', 'national museum', 'museum of culture', 'museum']",True
3,Metropolitan Museum of Art,/wiki/Metropolitan_Museum_of_Art,Q160236,United States,/wiki/United_States,Q30,New York City,/wiki/New_York_City,Q60,6479548,8398748,325145963,75,North America,"['art museum', 'museum of culture', 'museum']",True
4,British Museum,/wiki/British_Museum,Q6373,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,6239983,8908081,66022273,92,Europe,"['national museum', 'museum']",False
5,Tate Modern,/wiki/Tate_Modern,Q193375,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,6098340,8908081,66022273,53,Europe,"['art museum', 'museum of culture', 'museum']",True
6,National Gallery,/wiki/National_Gallery,Q180788,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,6011007,8908081,66022273,64,Europe,"['art museum', 'museum of culture', 'museum']",True
7,Natural History Museum,"/wiki/Natural_History_Museum,_London",Q309388,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,5424000,8908081,66022273,50,Europe,"['science museum', 'natural history museum', 'national museum', 'history museum', 'museum']",False
8,American Museum of Natural History,/wiki/American_Museum_of_Natural_History,Q217717,United States,/wiki/United_States,Q30,New York City,/wiki/New_York_City,Q60,5000000,8398748,325145963,48,North America,"['science museum', 'natural history museum', 'history museum', 'museum']",False
9,State Hermitage Museum,/wiki/State_Hermitage_Museum,Q132783,Russia,/wiki/Russia,Q159,Saint Petersburg,/wiki/Saint_Petersburg,Q656,4956529,5351935,146804372,75,Europe,"['art museum', 'museum of culture', 'museum']",True
10,Shanghai Science and Technology Museum,/wiki/Shanghai_Science_and_Technology_Museum,Q855376,China,/wiki/China,Q148,Shanghai,/wiki/Shanghai,Q8686,4824000,23390000,1409517397,9,Asia,['museum'],False
11,Museo Reina Sofía,/wiki/Museo_Nacional_Centro_de_Arte_Reina_Sof%C3%ADa,Q460889,Spain,/wiki/Spain,Q29,Madrid,/wiki/Madrid,Q2807,4425699,3266126,46733038,42,Europe,"['art museum', 'national museum', 'museum of culture', 'museum']",True
12,Guangdong Museum of Revolutionary History,/wiki/Guangdong_Museum_of_Revolutionary_History,Q5613635,China,/wiki/China,Q148,Guangzhou,/wiki/Guangzhou,Q16572,4257100,13080500,1409517397,5,Asia,['museum'],False
13,National Museum of Natural History,/wiki/National_Museum_of_Natural_History,Q148554,United States,/wiki/United_States,Q30,"Washington, D.C.","/wiki/Washington,_D.C.",Q61,4200000,705749,325145963,37,North America,"['science museum', 'natural history museum', 'history museum', 'museum']",False
14,Nanjing Museum,/wiki/Nanjing_Museum,Q1815891,China,/wiki/China,Q148,Nanjing,/wiki/Nanjing,Q16666,4169000,6320000,1409517397,18,Asia,"['art museum', 'museum of culture', 'museum']",True
15,Zhejiang Museum,/wiki/Zhejiang_Museum,Q1278762,China,/wiki/China,Q148,Hangzhou,/wiki/Hangzhou,Q4970,4150000,9468000,1409517397,8,Asia,['museum'],False
16,National Gallery of Art,/wiki/National_Gallery_of_Art,Q214867,United States,/wiki/United_States,Q30,"Washington, D.C.","/wiki/Washington,_D.C.",Q61,4074403,705749,325145963,49,North America,"['art museum', 'museum of culture', 'museum']",True
17,Victoria and Albert Museum,/wiki/Victoria_and_Albert_Museum,Q213322,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,3932938,8908081,66022273,54,Europe,"['art museum', 'museum of culture', 'design museum', 'theatre museum', 'museum']",True
18,China Science and Technology Museum,/wiki/China_Science_and_Technology_Museum,Q1074292,China,/wiki/China,Q148,Beijing,/wiki/Beijing,Q956,3891000,21710000,1409517397,6,Asia,"['science museum', 'technology museum', 'museum']",False
19,Military Museum of the Chinese People's Revolution,/wiki/Military_Museum_of_the_Chinese_People%27s_Revolution,Q1789184,China,/wiki/China,Q148,Beijing,/wiki/Beijing,Q956,3870000,21710000,1409517397,12,Asia,"['military museum', 'museum']",False
20,National Palace Museum,/wiki/National_Palace_Museum,Q540668,Taiwan,/wiki/Taiwan,Q865,Taipei,/wiki/Taipei,Q1867,3832373,2684567,23593794,37,Asia,"['national museum', 'museum']",False
21,Shenzhen Museum,/wiki/Shenzhen_Museum,Q2088192,China,/wiki/China,Q148,Shenzhen,/wiki/Shenzhen,Q15174,3826000,11908400,1409517397,4,Asia,['museum'],False
22,Musée d'Orsay,/wiki/Mus%C3%A9e_d%27Orsay,Q23402,France,/wiki/France,Q142,Paris,/wiki/Paris,Q90,3651616,2187526,66628000,122,Europe,"['art museum', 'museum of culture', 'museum']",True
23,Museo del Prado,/wiki/Museo_del_Prado,Q160112,Spain,/wiki/Spain,Q29,Madrid,/wiki/Madrid,Q2807,3497345,3266126,46733038,71,Europe,"['art museum', 'national museum', 'museum of culture', 'museum']",True
24,Mevlana Museum,/wiki/Mevlana_Museum,Q902957,Turkey,/wiki/Turkey,Q43,Konya,/wiki/Konya,Q79857,3464155,2232374,82003882,15,Asia,['museum'],False
25,Xi'an Museum ,/w/index.php?title=Xi%27an_Museum&action=edit&redlink=1,,China,/wiki/China,Q148,Xi'an,/wiki/Xi%27an,Q5826,3420000,5740000,1409517397,0,Asia,[],False
26,National Museum of Korea,/wiki/National_Museum_of_Korea,Q494407,South Korea,/wiki/South_Korea,Q884,Seoul,/wiki/Seoul,Q8684,3354161,9806538,51466201,31,Asia,"['national museum', 'museum']",False
27,Centre Pompidou,/wiki/Centre_Pompidou,Q178065,France,/wiki/France,Q142,Paris,/wiki/Paris,Q90,3273867,2187526,66628000,57,Europe,"['art museum', 'national museum', 'museum of culture', 'museum']",True
28,London Science Museum,/wiki/London_Science_Museum,Q674773,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,3254000,8908081,66022273,39,Europe,"['science museum', 'technology museum', 'museum']",False
29,National Air and Space Museum,/wiki/National_Air_and_Space_Museum,Q752669,United States,/wiki/United_States,Q30,"Washington, D.C.","/wiki/Washington,_D.C.",Q61,3200000,705749,325145963,32,North America,"['science museum', 'transport museum', 'aviation museum', 'technology museum', 'museum']",False
30,Tianjin Natural History Museum,/wiki/Tianjin_Natural_History_Museum,Q15903989,China,/wiki/China,Q148,Tianjin,/wiki/Tianjin,Q11736,3150000,13245000,1409517397,4,Asia,['museum'],False
31,Hunan Museum,/wiki/Hunan_Museum,Q5942029,China,/wiki/China,Q148,Changsha,/wiki/Changsha,Q174091,3140000,7044118,1409517397,10,Asia,['museum'],False
32,Moscow Kremlin Museums,/wiki/Moscow_Kremlin_Museums,Q4304009,Russia,/wiki/Russia,Q159,Moscow,/wiki/Moscow,Q649,3101550,12500123,146804372,6,Europe,['museum'],False
33,National Museum of Anthropology,/wiki/National_Museum_of_Anthropology_(Mexico),Q524249,Mexico,/wiki/Mexico,Q96,Mexico City,/wiki/Mexico_City,Q1489,3086555,8918653,130526945,35,North America,"['national museum', 'museum']",False
34,National Taiwan Science Education Center,/wiki/National_Taiwan_Science_Education_Center,Q10927242,Taiwan,/wiki/Taiwan,Q865,Taipei,/wiki/Taipei,Q1867,3000000,2684567,23593794,4,Asia,[],False
35,Royal Museums Greenwich,/wiki/Royal_Museums_Greenwich,Q7374509,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,2906000,8908081,66022273,4,Europe,['museum'],False
36,Shaanxi History Museum,/wiki/Shaanxi_History_Museum,Q1151210,China,/wiki/China,Q148,Xi'an,/wiki/Xi%27an,Q5826,2900000,5740000,1409517397,12,Asia,"['history museum', 'museum']",False
37,Tokyo Metropolitan Art Museum,/wiki/Tokyo_Metropolitan_Art_Museum,Q864957,Japan,/wiki/Japan,Q17,Tokyo,/wiki/Tokyo,Q1490,2873806,13942856,126785797,13,Asia,"['art museum', 'museum of culture', 'museum']",True
38,Somerset House,/wiki/Somerset_House,Q1344889,United Kingdom,/wiki/United_Kingdom,Q145,London,/wiki/London,Q84,2841772,8908081,66022273,27,Europe,[],False
39,Tretyakov Gallery,/wiki/Tretyakov_Gallery,Q183334,Russia,/wiki/Russia,Q159,Moscow,/wiki/Moscow,Q649,2835836,12500123,146804372,54,Europe,"['art museum', 'museum of culture', 'museum']",True
40,National Museum of History,/wiki/Museo_Nacional_de_Historia,Q6940502,Mexico,/wiki/Mexico,Q96,Mexico City,/wiki/Mexico_City,Q1489,2811646,8918653,130526945,4,North America,"['national museum', 'museum']",False
41,National Museum of American History,/wiki/National_Museum_of_American_History,Q148584,United States,/wiki/United_States,Q30,"Washington, D.C.","/wiki/Washington,_D.C.",Q61,2800000,705749,325145963,24,North America,"['national museum', 'history museum', 'museum']",False
42,Rijksmuseum,/wiki/Rijksmuseum,Q190804,Netherlands,/wiki/Netherlands,Q55,Amsterdam,/wiki/Amsterdam,Q727,2700000,860124,17282163,57,Central America,"['art museum', 'national museum', 'history museum', 'museum of culture', 'museum']",True
43,Tokyo National Museum,/wiki/Tokyo_National_Museum,Q653433,Japan,/wiki/Japan,Q17,Tokyo,/wiki/Tokyo,Q1490,2684754,13942856,126785797,45,Asia,"['national museum', 'museum']",False
44,National Museum of Natural Science,/wiki/National_Museum_of_Natural_Science,Q3847114,Taiwan,/wiki/Taiwan,Q865,Taichung,/wiki/Taichung,Q245023,2650000,2803894,23593794,7,Asia,"['science museum', 'national museum', 'museum']",False
45,Chongqing Museum of Natural History,/wiki/Chongqing_Museum_of_Natural_History,Q18201907,China,/wiki/China,Q148,Chongqing,/wiki/Chongqing,Q11725,2624700,7990000,1409517397,5,Asia,"['science museum', 'natural history museum', 'history museum', 'museum']",False
46,Centro Cultural Banco do Brasil,/wiki/Centro_Cultural_Banco_do_Brasil,Q2946151,Brazil,/wiki/Brazil,Q155,Rio de Janeiro,/wiki/Rio_de_Janeiro,Q8678,2606999,6520266,210147125,11,South America,[],False
47,Shanghai Natural History Museum,/wiki/Shanghai_Natural_History_Museum,Q1312291,China,/wiki/China,Q148,Shanghai,/wiki/Shanghai,Q8686,2549000,23390000,1409517397,9,Asia,['museum'],False
48,National Museum of Nature and Science,/wiki/National_Museum_of_Nature_and_Science,Q74940,Japan,/wiki/Japan,Q17,Tokyo,/wiki/Tokyo,Q1490,2460000,13942856,126785797,22,Asia,"['science museum', 'national museum', 'museum']",False
49,Zhejiang Museum of Natural History,/wiki/Zhejiang_Museum_of_Natural_History,Q11148852,China,/wiki/China,Q148,Hangzhou,/wiki/Hangzhou,Q4970,2443000,9468000,1409517397,7,Asia,['museum'],False
50,NGV International,/wiki/National_Gallery_of_Victoria,Q1464509,Australia,/wiki/Australia,Q408,Melbourne,/wiki/Melbourne,Q3141,2432883,4529500,24511800,28,Oceania,"['art museum', 'museum of culture', 'museum']",True
51,Hubei Provincial Museum,/wiki/Hubei_Provincial_Museum,Q4391403,China,/wiki/China,Q148,Wuhan,/wiki/Wuhan,Q11746,2400000,11895000,1409517397,9,Asia,['museum'],False
52,Russian Museum,/wiki/Russian_Museum,Q211043,Russia,/wiki/Russia,Q159,Saint Petersburg,/wiki/Saint_Petersburg,Q656,2394400,5351935,146804372,44,Europe,"['art museum', 'museum of culture', 'museum']",True
53,Cité des Sciences et de l'Industrie,/wiki/Cit%C3%A9_des_Sciences_et_de_l%27Industrie,Q1094338,France,/wiki/France,Q142,Paris,/wiki/Paris,Q90,2370000,2187526,66628000,21,Europe,"['national museum', 'museum']",False
54,Galleria degli Uffizi,/wiki/Galleria_degli_Uffizi,Q51252,Italy,/wiki/Italy,Q38,Florence,/wiki/Florence,Q2044,2361732,382258,60317000,67,Europe,"['art museum', 'national museum', 'museum of culture', 'museum']",True
55,Inner Mongolia Museum,/wiki/Inner_Mongolia_Museum,Q13410768,China,/wiki/China,Q148,Hohhot,/wiki/Hohhot,Q535534,2361000,2635000,1409517397,8,Asia,['museum'],False
56,Auschwitz-Birkenau State Museum,/wiki/Auschwitz-Birkenau_State_Museum,Q819729,Poland,/wiki/Poland,Q36,Oświęcim,/wiki/O%C5%9Bwi%C4%99cim,Q7342,2320000,39057,38382576,15,Europe,"['military museum', 'museum']",False
57,Three Gorges Museum,/wiki/Three_Gorges_Museum,Q10872783,China,/wiki/China,Q148,Chongqing,/wiki/Chongqing,Q11725,2301900,7990000,1409517397,7,Asia,['museum'],False
58,National Folk Museum of Korea,/wiki/National_Folk_Museum_of_Korea,Q486449,South Korea,/wiki/South_Korea,Q884,Seoul,/wiki/Seoul,Q8684,2286276,9806538,51466201,18,Asia,"['national museum', 'museum']",False
59,Liaoning Provincial Museum,/wiki/Liaoning_Provincial_Museum,Q3330767,China,/wiki/China,Q148,Shenyang,/wiki/Shenyang,Q11720,2280000,7935000,1409517397,8,Asia,['museum'],False
